"filename", "language", "ShaderLab", "JSON", "HLSL", "C#", "comment", "blank", "total"
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Shaders\Surface\MoonSurface.shader", "ShaderLab", 103, 0, 0, 0, 12, 29, 144
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Shaders\Surface\PlanetSurface.shader", "ShaderLab", 166, 0, 0, 0, 22, 45, 233
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\Shaders\Surface\StarSurface.shader", "ShaderLab", 48, 0, 0, 0, 2, 8, 58
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\SphereMesh.cs", "C#", 0, 0, 0, 127, 16, 32, 175
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Celestial Bodies\cBodySpawn.cs", "C#", 0, 0, 0, 44, 1, 13, 58
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\GameManager.cs", "C#", 0, 0, 0, 62, 7, 18, 87
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Game\Lighting\SunShadowCaster.cs", "C#", 0, 0, 0, 14, 0, 2, 16
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Game\OrbitCameraController.cs", "C#", 0, 0, 0, 81, 5, 26, 112
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Game\Physics\CelestialBodySimulation.cs", "C#", 0, 0, 0, 174, 16, 55, 245
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Game\Physics\GravityManager.cs", "C#", 0, 0, 0, 34, 1, 7, 42
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Game\Physics\KeplerMotion.cs", "C#", 0, 0, 0, 85, 15, 30, 130
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Game\Physics\NBodyPhysics.cs", "C#", 0, 0, 0, 32, 5, 14, 51
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Game\UI\EditorUI.cs", "C#", 0, 0, 0, 80, 6, 17, 103
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Game\UI\MainMenuController.cs", "C#", 0, 0, 0, 47, 6, 15, 68
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Game\UI\PlanetSelector.cs", "C#", 0, 0, 0, 29, 3, 9, 41
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\SystemSavingUtils.cs", "C#", 0, 0, 0, 58, 9, 16, 83
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Testing\PhysicsTestScript.cs", "C#", 0, 0, 0, 72, 16, 34, 122
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Testing\TestSceneScript.cs", "C#", 0, 0, 0, 46, 6, 16, 68
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Utils\Chance.cs", "C#", 0, 0, 0, 26, 0, 6, 32
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Utils\ColorHelper.cs", "C#", 0, 0, 0, 71, 3, 10, 84
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Utils\ComputeHelper.cs", "C#", 0, 0, 0, 141, 52, 27, 220
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Utils\ExploreCamera.cs", "C#", 0, 0, 0, 64, 5, 14, 83
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Scripts\Utils\PRNG.cs", "C#", 0, 0, 0, 201, 32, 39, 272
"c:\Users\markg\UnityProjects\SolSys Project\Assets\Shaders\OutlineShader.shader", "ShaderLab", 75, 0, 0, 0, 3, 19, 97
"c:\Users\markg\UnityProjects\SolSys Project\Assets\TextMesh Pro\Shaders\SDFFunctions.hlsl", "HLSL", 0, 0, 130, 0, 18, 31, 179
"c:\Users\markg\UnityProjects\SolSys Project\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "ShaderLab", 113, 0, 0, 0, 2, 31, 146
"c:\Users\markg\UnityProjects\SolSys Project\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "ShaderLab", 123, 0, 0, 0, 3, 30, 156
"c:\Users\markg\UnityProjects\SolSys Project\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "ShaderLab", 113, 0, 0, 0, 2, 31, 146
"c:\Users\markg\UnityProjects\SolSys Project\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "ShaderLab", 253, 0, 0, 0, 4, 70, 327
"c:\Users\markg\UnityProjects\SolSys Project\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "ShaderLab", 253, 0, 0, 0, 4, 65, 322
"c:\Users\markg\UnityProjects\SolSys Project\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "ShaderLab", 198, 0, 0, 0, 10, 51, 259
"c:\Users\markg\UnityProjects\SolSys Project\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "ShaderLab", 193, 0, 0, 0, 8, 52, 253
"c:\Users\markg\UnityProjects\SolSys Project\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "ShaderLab", 82, 0, 0, 0, 4, 21, 107
"c:\Users\markg\UnityProjects\SolSys Project\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile-2-Pass.shader", "ShaderLab", 290, 0, 0, 0, 15, 85, 390
"c:\Users\markg\UnityProjects\SolSys Project\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "ShaderLab", 192, 0, 0, 0, 8, 51, 251
"c:\Users\markg\UnityProjects\SolSys Project\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "ShaderLab", 104, 0, 0, 0, 8, 28, 140
"c:\Users\markg\UnityProjects\SolSys Project\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "ShaderLab", 123, 0, 0, 0, 4, 33, 160
"c:\Users\markg\UnityProjects\SolSys Project\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "ShaderLab", 253, 0, 0, 0, 4, 70, 327
"c:\Users\markg\UnityProjects\SolSys Project\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "ShaderLab", 111, 0, 0, 0, 0, 21, 132
"c:\Users\markg\UnityProjects\SolSys Project\Assets\TextMesh Pro\Shaders\TMPro.cginc", "HLSL", 0, 0, 63, 0, 2, 20, 85
"c:\Users\markg\UnityProjects\SolSys Project\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "HLSL", 0, 0, 129, 0, 2, 35, 166
"c:\Users\markg\UnityProjects\SolSys Project\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "HLSL", 0, 0, 62, 0, 6, 13, 81
"c:\Users\markg\UnityProjects\SolSys Project\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "HLSL", 0, 0, 75, 0, 7, 18, 100
"c:\Users\markg\UnityProjects\SolSys Project\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", 0, 155, 0, 0, 0, 2, 157
"c:\Users\markg\UnityProjects\SolSys Project\Packages\manifest.json", "JSON", 0, 51, 0, 0, 0, 1, 52
"c:\Users\markg\UnityProjects\SolSys Project\Packages\packages-lock.json", "JSON", 0, 548, 0, 0, 0, 1, 549
"Total", "-", 2907, 754, 1429, 3420, 830, 2039, 11379
